Tm,Tgt_20,Rec_20,Ctch%_20,Yds_20,TD_20,%Tgt_20,Tgt_10,Rec_10,Ctch%_10,Yds_10,TD_10,%Tgt_10,Highlights,Player,Year
NYG,1,0,0.00%,0,0,1.7%,1,0,0.00%,0,0,3.8%,All Roger Lewis red zone receiving plays,Roger Lewis,2016
LAR,1,0,0.00%,0,0,2.0%,0,0,0,0,0,.0%,All Bradley Marquez red zone receiving plays,Bradley Marquez,2016
TB,1,1,100.00%,1,0,1.5%,0,0,0,0,0,.0%,All Doug Martin red zone receiving plays,Doug Martin,2016
ARI,1,0,0.00%,0,0,1.3%,0,0,0,0,0,.0%,All Ifeanyi Momah red zone receiving plays,Ifeanyi Momah,2016
BUF,1,1,100.00%,6,0,2.0%,0,0,0,0,0,.0%,All Nick O'Leary red zone receiving plays,Nick O'Leary,2016
HOU,1,1,100.00%,-6,0,1.5%,1,1,100.00%,-6,0,2.9%,All Brock Osweiler red zone receiving plays,Brock Osweiler,2016
CHI,1,0,0.00%,0,0,1.4%,0,0,0,0,0,.0%,All Logan Paulsen red zone receiving plays,Logan Paulsen,2016
OAK,1,1,100.00%,1,1,1.1%,1,1,100.00%,1,1,2.2%,All Donald Penn red zone receiving plays,Donald Penn,2016
KC,1,1,100.00%,2,0,1.3%,1,1,100.00%,2,0,3.0%,All Dontari Poe red zone receiving plays,Dontari Poe,2016
NYG,1,0,0.00%,0,0,1.7%,0,0,0,0,0,.0%,All Bobby Rainey red zone receiving plays,Bobby Rainey,2016
SEA,1,1,100.00%,11,0,1.4%,0,0,0,0,0,.0%,All Thomas Rawls red zone receiving plays,Thomas Rawls,2016
JAX,1,0,0.00%,0,0,1.5%,0,0,0,0,0,.0%,All Denard Robinson red zone receiving plays,Denard Robinson,2016
ARI,1,1,100.00%,4,1,1.3%,1,1,100.00%,4,1,2.6%,All Jeremy Ross red zone receiving plays,Jeremy Ross,2016
BUF,1,0,0.00%,0,0,2.0%,0,0,0,0,0,.0%,All Greg Salas red zone receiving plays,Greg Salas,2016
KC,1,1,100.00%,2,0,1.3%,0,0,0,0,0,.0%,All Anthony Sherman red zone receiving plays,Anthony Sherman,2016
PHI,1,1,100.00%,4,0,1.2%,1,1,100.00%,4,0,4.0%,All Wendell Smallwood red zone receiving plays,Wendell Smallwood,2016
NYJ,1,0,0.00%,0,0,1.4%,0,0,0,0,0,.0%,All Devin Smith red zone receiving plays,Devin Smith,2016
HOU,1,0,0.00%,0,0,1.5%,1,0,0.00%,0,0,2.9%,All Jaelen Strong red zone receiving plays,Jaelen Strong,2016
IND,1,0,0.00%,0,0,1.5%,0,0,0,0,0,.0%,All Erik Swoope red zone receiving plays,Erik Swoope,2016
CLE,1,0,0.00%,0,0,1.8%,1,0,0.00%,0,0,5.0%,All Randall Telfer red zone receiving plays,Randall Telfer,2016
LAR,1,0,0.00%,0,0,2.0%,0,0,0,0,0,.0%,All Mike Thomas red zone receiving plays,Mike Thomas,2016
ATL,1,1,100.00%,1,1,1.1%,1,1,100.00%,1,1,2.0%,All D.J. Tialavea red zone receiving plays,D.J. Tialavea,2016
ATL,1,0,0.00%,0,0,1.1%,0,0,0,0,0,.0%,All Levine Toilolo red zone receiving plays,Levine Toilolo,2016
MIN,1,0,0.00%,0,0,1.4%,0,0,0,0,0,.0%,All Laquon Treadwell red zone receiving plays,Laquon Treadwell,2016
SEA,1,0,0.00%,0,0,1.4%,1,0,0.00%,0,0,3.2%,All Will Tukuafu red zone receiving plays,Will Tukuafu,2016
ARI,1,0,0.00%,0,0,1.3%,1,0,0.00%,0,0,2.6%,All Hakeem Valles red zone receiving plays,Hakeem Valles,2016
CLE,1,0,0.00%,0,0,1.8%,1,0,0.00%,0,0,5.0%,All Danny Vitale red zone receiving plays,Danny Vitale,2016
ATL,1,1,100.00%,11,0,1.1%,0,0,0,0,0,.0%,All Terron Ward red zone receiving plays,Terron Ward,2016
OAK,1,0,0.00%,0,0,1.1%,1,0,0.00%,0,0,2.2%,All DeAndre Washington red zone receiving plays,DeAndre Washington,2016
SDG,1,0,0.00%,0,0,1.1%,1,0,0.00%,0,0,2.9%,All Griff Whalen red zone receiving plays,Griff Whalen,2016
DAL,1,1,100.00%,8,0,1.9%,0,0,0,0,0,.0%,All Lucky Whitehead red zone receiving plays,Lucky Whitehead,2016
ARI,1,0,0.00%,0,0,1.3%,0,0,0,0,0,.0%,All Kerwynn Williams red zone receiving plays,Kerwynn Williams,2016
HOU,1,0,0.00%,0,0,1.5%,0,0,0,0,0,.0%,All Wendall Williams red zone receiving plays,Wendall Williams,2016
SEA,1,1,100.00%,15,1,1.4%,0,0,0,0,0,.0%,All Russell Wilson red zone receiving plays,Russell Wilson,2016
DET,1,1,100.00%,5,0,1.2%,0,0,0,0,0,.0%,All Zach Zenner red zone receiving plays,Zach Zenner,2016
SEA,24,15,62.50%,94,10,36.4%,16,8,50.00%,22,8,40.0%,All Jimmy Graham red zone receiving plays,Jimmy Graham,2017
GB,22,15,68.18%,140,7,34.4%,6,3,50.00%,16,3,20.0%,All Davante Adams red zone receiving plays,Davante Adams,2017
LAC,21,9,42.86%,47,4,31.3%,15,7,46.67%,27,4,34.1%,All Keenan Allen red zone receiving plays,Keenan Allen,2017
NE,21,10,47.62%,82,6,24.4%,9,4,44.44%,14,4,24.3%,All Rob Gronkowski red zone receiving plays,Rob Gronkowski,2017
MIA,21,17,80.95%,80,9,31.8%,14,11,78.57%,48,9,40.0%,All Jarvis Landry red zone receiving plays,Jarvis Landry,2017
PIT,20,11,55.00%,68,6,24.4%,10,7,70.00%,44,6,23.8%,All Antonio Brown red zone receiving plays,Antonio Brown,2017
DAL,20,11,55.00%,66,5,35.7%,10,4,40.00%,16,3,38.5%,All Dez Bryant red zone receiving plays,Dez Bryant,2017
KC,20,9,45.00%,92,5,27.8%,3,3,100.00%,21,3,13.6%,All Travis Kelce red zone receiving plays,Travis Kelce,2017
LAR,20,12,60.00%,107,5,26.3%,7,4,57.14%,22,2,20.0%,All Cooper Kupp red zone receiving plays,Cooper Kupp,2017
HOU,19,9,47.37%,49,7,35.2%,10,7,70.00%,32,7,33.3%,All DeAndre Hopkins red zone receiving plays,DeAndre Hopkins,2017
PHI,18,13,72.22%,63,4,24.0%,9,6,66.67%,35,3,30.0%,All Nelson Agholor red zone receiving plays,Nelson Agholor,2017
TB,18,4,22.22%,34,3,26.5%,9,1,11.11%,6,1,31.0%,All Mike Evans red zone receiving plays,Mike Evans,2017
ARI,18,11,61.11%,98,5,26.1%,6,4,66.67%,15,0,25.0%,All Larry Fitzgerald red zone receiving plays,Larry Fitzgerald,2017
ATL,18,5,27.78%,33,1,26.9%,11,4,36.36%,16,1,31.4%,All Julio Jones red zone receiving plays,Julio Jones,2017
PHI,17,11,64.71%,82,8,22.7%,7,5,71.43%,19,5,23.3%,All Zach Ertz red zone receiving plays,Zach Ertz,2017
CIN,16,7,43.75%,72,6,32.0%,8,4,50.00%,33,4,32.0%,All A.J. Green red zone receiving plays,A.J. Green,2017
MIN,16,14,87.50%,92,7,27.6%,9,8,88.89%,31,4,31.0%,All Kyle Rudolph red zone receiving plays,Kyle Rudolph,2017
MIN,16,4,25.00%,35,2,27.6%,8,1,12.50%,7,1,27.6%,All Adam Thielen red zone receiving plays,Adam Thielen,2017
WAS,15,5,33.33%,42,4,23.8%,7,2,28.57%,3,1,28.0%,All Josh Doctson red zone receiving plays,Josh Doctson,2017
CAR,15,8,53.33%,69,5,27.3%,5,4,80.00%,27,3,19.2%,All Devin Funchess red zone receiving plays,Devin Funchess,2017
SF,15,5,33.33%,50,1,17.6%,9,1,11.11%,8,1,25.0%,All Marquise Goodwin red zone receiving plays,Marquise Goodwin,2017
PHI,15,8,53.33%,68,7,20.0%,8,5,62.50%,25,5,26.7%,All Alshon Jeffery red zone receiving plays,Alshon Jeffery,2017
SF,15,9,60.00%,41,2,17.6%,7,4,57.14%,22,2,19.4%,All George Kittle red zone receiving plays,George Kittle,2017
BUF,15,9,60.00%,58,2,23.1%,7,2,28.57%,10,0,20.6%,All LeSean McCoy red zone receiving plays,LeSean McCoy,2017
DEN,15,8,53.33%,58,4,25.9%,8,4,50.00%,17,3,33.3%,All Demaryius Thomas red zone receiving plays,Demaryius Thomas,2017
NO,15,9,60.00%,51,5,21.1%,9,7,77.78%,30,5,30.0%,All Michael Thomas red zone receiving plays,Michael Thomas,2017
PIT,14,9,64.29%,36,0,17.1%,5,3,60.00%,6,0,11.9%,All Le'Veon Bell red zone receiving plays,Le'Veon Bell,2017
OAK,14,7,50.00%,20,5,30.4%,11,5,45.45%,9,5,39.3%,All Michael Crabtree red zone receiving plays,Michael Crabtree,2017
DET,14,4,28.57%,26,4,20.0%,8,3,37.50%,15,3,25.0%,All Marvin Jones red zone receiving plays,Marvin Jones,2017
TB,13,5,38.46%,68,5,19.1%,4,1,25.00%,10,1,13.8%,All Cameron Brate red zone receiving plays,Cameron Brate,2017
WAS,13,6,46.15%,39,3,20.6%,5,2,40.00%,4,1,20.0%,All Jamison Crowder red zone receiving plays,Jamison Crowder,2017
